month,peak_gw,energy_bu,confidence,source,source_url
2023-05,221.4,136.5,high,PTI / CEA,https://powerline.net.in/2023/05/19/peak-power-demand-reaches-221-gw-on-may-17-2023/
2023-06,224.1,140.3,high,PTI / CEA,https://www.ibef.org/news/india-s-power-consumption-rises-nearly-9-to-152-38-billion-units-in-june
2023-07,209.0,140.4,high,PTI / CEA,https://www.business-standard.com/industry/news/power-consumption-up-by-3-5-to-145-4-bn-units-in-july-amid-rainfall-124080100827_1.html
2023-08,238.2,151.3,high,PTI / CEA,https://www.outlookbusiness.com/news/indias-power-consumption-grows-almost-8-to-847-billion-units-in-first-half-of-fy24
2023-09,240.0,140.5,high,PTI / CEA,https://www.dailypioneer.com/2023/business/power-consumption-grows-10-7--to-140-49-billion-units-in-september.html
2023-10,221.5,139.4,high,PTI / CEA,https://www.constructionworld.in/energy-infrastructure/power-and-renewable-energy/indias-power-consumption-slightly-up-to-140.4-billion-units-in-october/64556
2023-11,204.6,119.3,high,PTI / CEA,https://www.outlookbusiness.com/news/indias-power-consumption-up-5-to-12544-billion-units-in-nov
2023-12,213.6,123.2,high,PTI / CEA,
2024-01,222.3,133.2,high,PTI / CEA,https://www.business-standard.com/industry/news/power-consumption-grows-7-5-to-1354-97-bn-units-in-fy23-24-from-apr-jan-124021800117_1.html
2024-02,222.0,127.3,high,PTI / CEA,https://www.outlookbusiness.com/news/indias-power-consumption-grows-slightly-to-13154-billion-units-in-feb
2024-03,221.7,129.9,high,PTI / CEA,https://www.business-standard.com/industry/news/domestic-power-consumption-rises-1-4-to-129-89-billion-units-in-march-124040100344_1.html
2024-04,224.2,144.3,high,PTI / CEA,https://www.deccanherald.com/business/indias-power-consumption-rises-by-11-in-april-3003110
2024-05,250.1,156.3,high,PTI / CEA,https://www.business-standard.com/economy/news/india-s-power-usage-rises-15-to-156-31-bn-units-in-may-due-to-extreme-heat-124060200211_1.html
2024-06,245.4,152.4,high,PTI / CEA,https://www.ibef.org/news/india-s-power-consumption-rises-nearly-9-to-152-38-billion-units-in-june
2024-07,226.6,145.4,high,PTI / CEA,https://www.business-standard.com/industry/news/power-consumption-up-by-3-5-to-145-4-bn-units-in-july-amid-rainfall-124080100827_1.html
2024-08,216.7,144.2,high,PTI / CEA,https://www.business-standard.com/industry/news/india-s-power-consumption-declines-4-7-to-144-2-billion-units-in-aug-124090100425_1.html
2024-09,230.6,141.4,medium,PTI / CEA,https://www.business-standard.com/india-news/india-s-power-consumption-rises-3-2-to-145-91-bn-units-in-september-125100101068_1.html
2024-10,219.2,140.5,high,PTI / CEA,https://www.constructionworld.in/energy-infrastructure/power-and-renewable-energy/indias-power-consumption-slightly-up-to-140.4-billion-units-in-october/64556
2024-11,207.4,125.4,high,PTI / CEA,https://www.ibef.org/news/india-s-power-consumption-rises-5-to-125-44-billion-units-in-november
2024-12,224.2,130.4,high,PTI / CEA,https://www.deccanherald.com/india/indias-power-consumption-up-nearly-6-to-13040-billion-units-in-december-3338302
2025-01,237.3,137.5,high,PTI / CEA,https://www.fibre2fashion.com/news/industrial-textiles-news/india-s-power-consumption-up-2-7-to-137-49-bu-in-jan-2025-300561-newsdetails.htm
2025-02,238.1,131.5,high,PTI / CEA,https://www.angelone.in/news/economy/indias-power-consumption-crossed-billion-units-in-feb
2025-03,235.2,148.5,high,PTI / CEA,https://www.business-standard.com/industry/news/india-s-power-consumption-rises-7-to-148-48-bn-units-in-march-2025-125040100868_1.html
2025-04,235.3,148.0,high,PTI / CEA,https://dailypioneer.com/news/india-total-power-consumption-grows-4-percent-april-2026
2025-05,231.0,147.9,high,PTI / CEA,
2025-06,241.0,149.1,high,PIB / CEA,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2135450
2025-08,229.7,150.5,high,PTI / CEA,https://www.business-standard.com/industry/news/india-s-power-consumption-rises-4-4-to-150-47-bn-units-in-august-125090100797_1.html
2025-09,229.2,145.9,high,PTI / CEA,https://www.business-standard.com/india-news/india-s-power-consumption-rises-3-2-to-145-91-bn-units-in-september-125100101068_1.html
2025-10,210.7,132.0,high,PTI / CEA,https://www.constructionworld.in/energy-infrastructure/power-and-renewable-energy/indias-power-consumption-falls-6-in-october-to-132-billion-units/80937
2025-12,241.0,139.3,medium,CRISIL / CEA,https://www.tribuneindia.com/news/energy-sector/december-power-demand-rises-6-8-offsetting-softer-q3fy26-trends-nuvama
2026-01,245.4,143.0,medium,CRISIL / CEA,https://www.downtoearth.org.in/energy/indias-power-demand-hits-five-year-high-in-early-2026
2026-02,244.0,133.0,medium,CRISIL / CEA,https://www.downtoearth.org.in/energy/indias-power-demand-hits-five-year-high-in-early-2026
2026-03,239.0,149.0,medium,PTI / CEA,https://www.angelone.in/news/economy/india-power-demand-growth-slows-to-1-7-in-march-amid-high-rainfall
2026-04,256.0,154.0,high,PIB / CEA,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2256313
