tranche_id,developer,project,tech,capacity_gw,stated_on,concall,target_period,status,confidence,source,source_url,note
ACME-BESS,ACME Solar Holdings,Merchant BESS (Fatehgarh / Bikaner),bess,2.3,2025-08-05,Q1 FY26 concall,Q4FY26,on-track,high,ACME Q4 FY26 concall,https://www.acmesolar.in/assets/pdf/Webcasts-and-Transcripts/08.05.2026_Q4_FY26_Earning_Call_Transcript.pdf,
ACME-BESS,ACME Solar Holdings,Merchant BESS (Fatehgarh / Bikaner),bess,2.3,2026-02-10,Q3 FY26 concall,Q1FY27,delayed,high,ACME Q4 FY26 concall,https://www.acmesolar.in/assets/pdf/Webcasts-and-Transcripts/08.05.2026_Q4_FY26_Earning_Call_Transcript.pdf,"GWh. Merchant BESS reshaped (2.5->1->2 GWh across Q1-Q3); ~2.3 GWh finally commissioned in phases Feb-May 2026, spilling into Q1 FY27 for peak-tariff arbitrage."
ACME-FY26,ACME Solar Holdings,FY26 generation build (Sikar solar + wind),solar,0.45,2026-03-31,FY26 results,Q4FY26,commissioned,high,ACME Q4 FY26 presentation,https://www.acmesolar.in/assets/pdf/Results-and-Presentations/Investors-Presentation/Q4_FY_26_Investor_Presentation.pdf,"450 MW FY26 generation guidance held from Q1 FY26 and delivered; operational fleet reached 2,982 MW at 31-Mar-26 - a rare Indian-IPP target that did NOT slip."
ACME-FY27,ACME Solar Holdings,FY27 program (1.5 GW gen + ~10 GWh BESS),hybrid,1.5,2026-03-31,FY26 concall,Q4FY27,on-track,high,ACME Q4 FY26 concall,https://www.acmesolar.in/assets/pdf/Webcasts-and-Transcripts/08.05.2026_Q4_FY26_Earning_Call_Transcript.pdf,"1.5 GW contracted generation + ~10 GWh BESS, reiterated from Q3 FY26; timed to CTU substation charging with a ~1-quarter buffer. Full 3.3 GW book guided by FY28."
AGEL-BESS,Adani Green Energy,Khavda BESS / storage,bess,10,2026-03-31,FY26 concall,Q4FY27,on-track,high,AGEL FY26 concall,https://www.whalesbook.com/news/English/renewables/Adani-Green-Plans-10-GWh-Storage-Push-Amid-High-Debt-Valuation-Worries/69f16ed608235f0c2a157e36,"GWh. FY27 BESS guidance RAISED from >7 GWh to >10 GWh; 3.37 GWh already live (world's largest single-location outside China), soaking up curtailed Khavda output."
AGEL-FY26,Adani Green Energy,FY26 greenfield build (Khavda-led),solar,5.05,2026-03-31,FY26 results,Q4FY26,commissioned,high,AGEL FY26 results,https://www.adani.com/newsroom/media-releases/adani-green-energy-delivers-on-5-gw-commitment-in-fy26,Delivered 5.05 GW greenfield in FY26 (3.41 solar + 0.68 Khavda wind + 0.96 hybrid); op base 14.2->19.3 GW. Met the 5 GW commitment.
AGEL-FY27,Adani Green Energy,FY27 greenfield build (grid-capped),solar,4.75,2026-03-31,FY26 concall,Q4FY27,at-risk,high,AGEL FY26 concall,https://www.saurenergy.com/solar/adani-green-q3-concall-slowdown-explained-11035627,"Guided 4.5-5.0 GW for FY27 - a deliberate self-cap vs 7-8 GW capability, explicitly contingent on grid evacuation; below the ~7.5 GW/yr the 50GW-by-2030 goal implies."
AGEL-KHAVDA-EVAC,Adani Green Energy,Khavda capacity awaiting grid evacuation,hybrid,3,2025-11-08,Q2 FY26 concall,Q2FY26,delayed,high,AGEL Q3 FY26 concall,https://www.saurenergy.com/solar/adani-green-q3-concall-slowdown-explained-11035627,
AGEL-KHAVDA-EVAC,Adani Green Energy,Khavda capacity awaiting grid evacuation,hybrid,3,2026-02-10,Q3 FY26 concall,Q4FY26,delayed,high,AGEL Q3 FY26 concall,https://www.saurenergy.com/solar/adani-green-q3-concall-slowdown-explained-11035627,"~4.8 GW ran as merchant/infirm for want of evacuation; 2-3 tranches guided for H1FY26 slipped; Q3FY26 re-guided up to 3 GW from Q4FY26, 14 GW Khavda evacuation by Mar-2027."
AVAADA-GJSUS,Avaada Energy,Avaada GJSustainable 200 MW solar (SECI PPA),solar,0.2,2026-03-31,ICRA (Mar-2026),Q4FY26,commissioned,high,ICRA rating rationale,https://www.icra.in/Rating/ShowRationalReportFilePdf/141791,"108 MW of 200 MW COD Feb-2026, balance ~92 MW by Apr-2026 per revised SECI SCoD; ICRA upgraded on de-risking."
