scheme,category,target,status,allocation_cr,key_metric,announced,source_url,highlights,companies_affected,confidence,source,note
ALMM List-I (Solar PV Modules),Manufacturing,,Active,,enforced for govt/OA/net-metering since Apr 2021,Jan 2019,https://mnre.gov.in/en/approved-list-of-models-and-manufacturers-almm/,"A government-approved list of which solar-panel brands are allowed in government, open-access and net-metering projects. Panels from makers not on the list can't be used there — which effectively shuts out cheaper imports.","Protects listed Indian module makers whose panels are ALMM-approved — Waaree, Premier Energies, Vikram Solar, Adani Solar, Tata Power Solar; foreign and unlisted makers are locked out of subsidised and government demand.",high,MNRE,
ALMM List-II (Solar Cells),Manufacturing,,Effective,,~30 GW listed cell capacity; in force 1 Jun 2026,Dec 2024,https://mnre.gov.in/en/approved-list-of-models-and-manufacturers-almm/,"Extends the approved-list rule one step upstream: from 1 June 2026 the panels themselves must be built from Indian-made solar cells, not just assembled in India. Closes the loophole of importing Chinese cells and assembling them locally.","A major win for domestic cell makers — Premier Energies, Websol, Waaree, Adani — who can sell scarce Indian cells at a premium; assemblers without their own cell lines must now buy domestic cells or lose ALMM eligibility.",high,MNRE,
ALMM List-III (Wafers & Ingots),Manufacturing,,Announced,,effective 1 Jun 2028; needs 15 GW domestic wafer capacity,Mar 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241551,"Pushes the same 'must be made in India' rule further up the chain to wafers and ingots — the silicon slices that cells are cut from — starting June 2028. Aims to localise the deepest, most import-dependent step.","Targets backward-integrators building wafer lines — Adani, Reliance, Premier Energies. With ~100% of wafers imported today, makers without wafer plans face a 2028 supply cliff.",high,PIB,
Basic Customs Duty (BCD) on Cells/Modules,Trade,,Active,,cells 20% BCD +7.5% AIDC; modules 20% BCD +20% AIDC (eff ~40%),Feb 2025,https://www.cbic.gov.in/Customs-Notifications,"An import tax that makes foreign solar cells and panels more expensive at the border so Indian-made products can compete. Effective duty is roughly 40% on panels and about 27.5% on cells.","Shields all domestic makers (Waaree, Premier, Vikram, Adani) by pricing up Chinese imports; raises input costs for EPCs and developers (Sterling & Wilson, Tata Power) still reliant on imported cells.",medium,CBIC,
PLI - High Efficiency Solar PV Modules,Manufacturing,,Active,4500,"Rs 24,000 cr across 2 tranches; ~48 GW awarded",Sep 2022,https://mnre.gov.in/en/production-linked-incentive-pli/,"The government pays makers a bonus for every high-efficiency panel produced in India, rewarding those who build fully local factories — from polysilicon all the way to the finished panel. Rs 24,000 cr is set aside, but very little has been paid out so far.","Cash incentive for the awarded integrated players — Reliance, Adani, Waaree, Premier Energies, Vikram, Tata Power — tied to hitting local-manufacturing and output milestones (disbursement has lagged badly).",high,MNRE,
Domestic Content Requirement (DCR),Manufacturing,,Active,,16-digit DCR certificate mandatory since 1 Dec 2024,Dec 2024,https://mnre.gov.in/en/notice/domestic-content-requirement-dcr-under-solar-pv-power-projects-under-mnres-schemes-programmes-clarification-reg/,"For government-subsidised projects, both the cells and the panels must be Indian-made, proven with a digital certificate. This is why 'DCR' panels sell for almost double the price of ordinary ones.","Creates a high-margin premium market for integrated makers with domestic cells (Waaree, Premier, Adani); rooftop installers and PM-KUSUM vendors must source the pricier DCR kit.",high,MNRE,
PM Surya Ghar Muft Bijli Yojana,Rooftop,,Active,,"1 crore homes; up to Rs 78,000 subsidy; Rs 75,021 cr outlay",Feb 2024,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2111106,"India's flagship rooftop-solar scheme: it gives households a cash subsidy (up to Rs 78,000) and up to 300 free units of electricity a month, aiming to put solar on 1 crore homes.","A demand engine for rooftop installers and residential-kit makers — Tata Power Solar, Waaree, Premier, Luminous; DCR rules steer the orders to domestic-cell makers.",high,PIB,
PM-KUSUM,Agri,,Active,,"34,800 MW target; deadline extended to 31 Mar 2027",Jul 2019,https://mnre.gov.in/en/pradhan-mantri-kisan-urja-suraksha-evam-utthaan-mahabhiyaan-pm-kusum/,"A scheme to solar-power farming: it funds standalone solar water pumps, solarising existing pump connections, and small farm-gate solar plants, so farmers cut diesel use and can sell surplus power.","The core order book for solar-pump makers — Shakti Pumps, Oswal Pumps, Tata Power — and feeds EPCs building the decentralised farm plants.",high,MNRE,
RPO / RGO Trajectory,Demand,,Active,,rises to 43.33% RCO by FY2029-30,Oct 2023,https://www.recregistryindia.nic.in/pdf/REC_Regulation/Renewable_Purchase_Obligation_and_Energy_Storage_Obligation_Trajectory_till_2029_30.pdf,"A rule forcing big power buyers — state utilities and large industries — to source a rising minimum share of their electricity from renewables, climbing to about 43% by 2029-30. It guarantees long-term demand for clean power.","Underpins offtake for every IPP — Adani Green, ReNew, NTPC Green, Tata Power, JSW; non-compliant DISCOMs face penalties, which indirectly supports new PPA signings.",medium,CERC,
ISTS Charge Waiver (Solar/Wind),Demand,,Active,,100% waiver ended 30 Jun 2025; nil after 30 Jun 2028,Jun 2025,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1729095,"Solar and wind projects have been exempt from the fee for moving power between states, making inter-state clean power cheaper. That perk is now being phased out in steps and ends entirely after June 2028.","Losing the waiver raises delivered-power costs for inter-state IPPs — Adani Green, ReNew, Avaada, SJVN — pushing them to commission before the deadline.",medium,PIB,
