tranche_id,developer,project,tech,capacity_gw,stated_on,concall,target_period,status,confidence,source,source_url,note
WAAREE-CELL-CHIKHLI,Waaree Energies,"Chikhli 5.4 GW cell line (Gujarat)",cell,5.4,2024-11-18,Q2 FY25 concall,Q3FY25,on-track,high,Waaree Energies Q2 FY25 investor call,https://www.energetica-india.net/news/waaree-energies-to-commence-cell-manufacturing-in-54-gw-chikhli-plant-in-mid-december,"CEO Paithankar said dry runs underway and commercial ops expected mid-December 2024."
WAAREE-CELL-CHIKHLI,Waaree Energies,"Chikhli 5.4 GW cell line (Gujarat)",cell,5.4,2025-02-10,Commissioning PR (Feb 2025),Q4FY25,commissioned,high,pv magazine India,https://www.pv-magazine-india.com/2025/02/10/waaree-commissions-first-phase-of-5-4-gw-solar-cell-factory/,"First 1.4 GW mono-PERC line began production Feb 2025 (full plant inaugurated 29 Mar 2025); slipped ~2 months from mid-Dec guidance; 4 GW TOPCon phase to follow."
PREMIER-CELL-NAIDUPETA,Premier Energies,"Naidupeta 7 GW cell fab (Andhra Pradesh)",cell,7.0,2025-07-28,Q1 FY26 results,Q1FY27,on-track,high,Premier Energies Q1 FY26 results,https://www.saurenergy.com/solar-energy-news/premier-energies-q1-fy26-profit-surges-55-manufacturing-capacity-expanded-9550165,"Guided total cell capacity to 8.4 GW by June 2026, driven by the new Andhra Pradesh cell ramp."
PREMIER-CELL-NAIDUPETA,Premier Energies,"Naidupeta 7 GW cell fab (Andhra Pradesh)",cell,7.0,2026-05-15,Q4 FY26 results,Q2FY27,on-track,high,Premier Energies FY26 results,https://www.saurenergy.com/solar-energy-news/premier-energies-set-to-scale-solar-cell-capacity-from-36-gw-to-106-gw-by-sep-2026-12141086,"Fab upsized to 7 GW; 4.8 GW by June 2026 with balance 2.2 GW slipping to Sep 2026; total cell capacity 3.6 to 10.6 GW."
PREMIER-CELL-FABCITY,Premier Energies,"Fab City 1.2 GW TOPCon cell line (Hyderabad)",cell,1.2,2025-06-26,Commissioning PR (Jun 2025),Q1FY26,commissioned,high,Premier Energies press release / pv magazine,https://www.pv-magazine.com/2025/06/30/premier-energies-commissions-1-2-gw-topcon-solar-cell-line/,"1.2 GW TOPCon line commissioned June 2025, later running above 90% utilisation."
TATA-CELL-TIRUNELVELI,Tata Power Solar,"Tirunelveli 4.3 GW cell line (Tamil Nadu)",cell,4.3,2024-09-09,Commissioning PR (Sep 2024),Q2FY25,commissioned,high,Tata Power / pv magazine India,https://www.pv-magazine-india.com/2024/09/09/tata-power-begins-solar-cell-production-at-4-3-gw-plant-in-tamil-nadu/,"Cell production began Sep 2024 (module line ran from Oct 2023); 4.3 GW single-location cell+module plant inaugurated Feb 2025."
ADANI-CELL-MUNDRA,Adani (Adani Solar),"Mundra cell expansion 4 to 10 GW (Gujarat)",cell,6.0,2023-10-02,Capacity plan (Oct 2023),Q4FY27,on-track,medium,Business Standard,https://www.business-standard.com/companies/news/adani-plans-to-build-10-gw-integrated-solar-manufacturing-capacity-by-2027-123100200723_1.html,"Original plan: 10 GW integrated cell+module by 2027 (adds ~6 GW cell over existing 4 GW)."
ADANI-CELL-MUNDRA,Adani (Adani Solar),"Mundra cell expansion 4 to 10 GW (Gujarat)",cell,6.0,2024-10-03,Capacity update (Oct 2024),Q1FY27,on-track,medium,pv magazine India,https://www.pv-magazine-india.com/2024/10/03/adani-to-hit-10-gw-of-solar-cell-module-manufacturing-capacity-by-mid-2026/,"Accelerated to mid-2026; but as of mid-2026 only ~4 GW cell confirmed operational, so the ramp appears to be running behind."
RENEW-CELL-DHOLERA,ReNew,"Dholera 4 GW TOPCon cell expansion (Gujarat)",cell,4.0,2025-05-06,BII funding PR (May 2025),Q3FY27,on-track,medium,pv magazine India,https://www.pv-magazine-india.com/2025/05/06/renew-secures-100-million-from-bii-to-scale-solar-manufacturing-operations/,"New 4 GW TOPCon cell fab (on top of existing 2.5 GW) targeted by Dec 2026; later filings soften this to H2 FY27."
VIKRAM-CELL-TN,Vikram Solar,"Gangaikondan 12 GW cell facility (Tamil Nadu)",cell,12.0,2025-08-18,IPO prospectus (Aug 2025),Q4FY27,on-track,high,Vikram Solar IPO note,https://geplcapital.com/ipo/ipo_18_Aug_25_11_41_18_Vikram-Solar-Limited-18082025.pdf,"DRHP: cell units of 3 GW + 9 GW targeted for completion by FY27, with Phase-I 3 GW cell IPO-funded."
