month,poly_usd_kg,wafer_usd_pc,cell_usd_w,module_usd_w
2024-01,9.2,0.29,0.065,0.11e
2024-02,8.8e,0.28e,0.061e,0.108e
2024-03,8.5e,0.25e,0.056e,0.106e
2024-04,8.1,0.22,0.05e,0.104e
2024-05,6.5e,0.18e,0.044e,0.102e
2024-06,5.7,0.153,0.042e,0.101e
2024-07,5.6e,0.156,0.04e,0.10
2024-08,5.6e,0.153e,0.04,0.096e
2024-09,5.6e,0.15e,0.039e,0.092e
2024-10,5.6,0.146e,0.038e,0.089
2024-11,5.7,0.143,0.038,0.088e
2024-12,5.6,0.143e,0.039e,0.088e
2025-01,5.6e,0.146e,0.04e,0.087e
2025-02,5.6,0.16e,0.04e,0.088e
2025-03,5.6e,0.174e,0.042e,0.09e
2025-04,5.6,0.171,0.042,0.092
2025-05,5.2e,0.139e,0.038e,0.091e
2025-06,5.0,0.125,0.035e,0.088e
2025-07,4.9,0.139,0.032,0.086e
2025-08,6.2,0.153e,0.036e,0.086e
2025-09,7.1,0.174e,0.04e,0.087e
2025-10,7.2e,0.188e,0.038,0.088e
2025-11,7.2e,0.174,0.038e,0.088e
2025-12,7.2,0.164,0.041,0.089
2026-01,7.4,0.194,0.044e,0.115
2026-02,7.2,0.174e,0.042e,0.118e
2026-03,6.6,0.146,0.04e,0.12
2026-04,5.7e,0.132,0.039e,0.118e
2026-05,5.0e,0.125e,0.038e,0.117
2026-06,4.7,0.125,0.038e,0.114
2026-07,4.5,0.118,0.037,0.113
